potential,series,ecutwfc_Ry,k_grid,energy_eV,delta_meV_per_atom
ONCV (repository Si.upf),ecut,45,15x15x15,-230.27452626925725,
ONCV (repository Si.upf),ecut,55,15x15x15,-230.27469974182938,-0.0867362860645926
ONCV (repository Si.upf),ecut,65,15x15x15,-230.27475389248326,-0.02707532694046222
ONCV (repository Si.upf),ecut,75,15x15x15,-230.2748661394417,-0.0561234792257892
ONCV (repository Si.upf),k-grid,65,10x10x10,-230.27403238264006,
ONCV (repository Si.upf),k-grid,65,12x12x12,-230.27461742739314,-0.2925223765402052
ONCV (repository Si.upf),k-grid,65,14x14x14,-230.27473634114068,-0.059456873771068786
ONCV (repository Si.upf),k-grid,65,15x15x15,-230.27475389248326,-0.008775671290095488
RRKJ (QE distribution),ecut,45,15x15x15,-214.17245953162342,
RRKJ (QE distribution),ecut,55,15x15x15,-214.17257313915107,-0.05680376382599661
RRKJ (QE distribution),ecut,65,15x15x15,-214.17262524895116,-0.026054900047256524
RRKJ (QE distribution),ecut,75,15x15x15,-214.1726747736698,-0.024762359316810034
RRKJ (QE distribution),k-grid,65,10x10x10,-214.171955984965,
RRKJ (QE distribution),k-grid,65,12x12x12,-214.17250102898382,-0.2725220094106362
RRKJ (QE distribution),k-grid,65,14x14x14,-214.17260946634852,-0.05421868235089278
RRKJ (QE distribution),k-grid,65,15x15x15,-214.17262524895116,-0.007891301322615618
