      Step     Time          Energy          fmax
BFGS:    0 14:28:27     -230.247750        0.894757
BFGS:    1 14:29:45     -230.269577        0.457563
BFGS:    2 14:31:04     -230.278713        0.104844
BFGS:    3 14:32:26     -230.279269        0.088189
BFGS:    4 14:33:47     -230.279785        0.056360
BFGS:    5 14:35:07     -230.279955        0.035611
BFGS:    6 14:36:27     -230.280014        0.022132
BFGS:    7 14:37:49     -230.280043        0.016258
BFGS:    8 14:39:07     -230.280067        0.013296
BFGS:    9 14:40:27     -230.280075        0.005000
BFGS:   10 14:41:49     -230.280075        0.000909
