      Step     Time          Energy          fmax
BFGS:    0 16:09:17    -1317.562312        5.187961
BFGS:    1 16:09:27    -1318.290600        3.535588
BFGS:    2 16:09:37    -1318.538929        2.640925
BFGS:    3 16:09:47    -1318.746496        2.647896
BFGS:    4 16:09:58    -1319.047231        0.578503
BFGS:    5 16:10:08    -1319.059048        0.281912
BFGS:    6 16:10:18    -1319.063018        0.292916
BFGS:    7 16:10:28    -1319.070253        0.305092
BFGS:    8 16:10:39    -1319.074019        0.212418
BFGS:    9 16:10:49    -1319.076606        0.083143
BFGS:   10 16:10:59    -1319.077129        0.026199
BFGS:   11 16:11:10    -1319.077192        0.013534
BFGS:   12 16:11:20    -1319.077196        0.003255
