      Step     Time          Energy          fmax
BFGS:    0 19:45:36    -1319.372094        0.354468
BFGS:    1 19:45:49    -1319.375959        0.127006
BFGS:    2 19:46:02    -1319.376307        0.100637
BFGS:    3 19:46:15    -1319.376827        0.044057
BFGS:    4 19:46:27    -1319.376970        0.036024
BFGS:    5 19:46:40    -1319.377112        0.019236
BFGS:    6 19:46:52    -1319.377141        0.016073
BFGS:    7 19:47:04    -1319.377157        0.017508
BFGS:    8 19:47:20    -1319.377173        0.014552
BFGS:    9 19:47:36    -1319.377189        0.006973
